ServiceNumber,LGILInteractionNo,ServiceName,LGChLChannelNo,ChannelAddress
1,8,Find out about educating your child at home,1,
2,8,Find out about help with school clothing costs,1,
2,0,Apply for help with school clothing costs,1,
3,8,Find out about home to school travel support,1,
3,0,Apply for home to school travel support,1,
4,8,Find out about free school meals,1,
4,0,Apply for free school meals,1,
9,8,Find out about an assessment of special educational needs,1,
9,0,Apply for an assessment of special educational needs,1,
12,8,Find out about nursery school places,1,
13,8,Find out about primary school places,1,
13,0,Apply for a primary school place,1,
14,8,Find out about secondary school places,1,
14,0,Apply for a secondary school place,1,
18,8,Find out about school holiday schemes,1,
19,8,Find out about after/before school childcare,1
35,8,Find out about school truancy,1
36,8,Find out school term dates,1
40,8,Find out abut school transport for a child with special educational needs,1
40,0,Apply for school transport for a child with special educational needs,1
48,8,Find out about performance/stage licences for school age children,1
48,0,Apply for a performance/stage licence for school age children,1
56,0,Contact the council about  your business rates bill,1
57,8,Find out more about  council tax,1
57,2,Pay your council tax,1
59,8,Find out about discounts on council tax,1
59,0,Apply for a discount on council tax,1
63,8,Find out about council tax benefit,1
63,0,Check your eligibility for council tax benefit,1
69,8,Find out about housing benefit,1
72,8,Find out about appeals relating to housing benefit decisions,1
72,0,Appeal against a housing benefit decision,1
88,8,Find out about mutual council home exchange,1
92,8,Find out about applying for a council home,1
92,0,Apply for a council home,1
101,8,Find out about squatters and unauthorised occupants in council property,1
101,0,Report suspected squatters in a council property,1
112,8,Find out about advice for homeless people,1
115,8,Find out about renting a council garage,1
115,0,Apply to rent a council garage,1
124,8,Find out about making insurance claims against the council,1
137,8,Find out about the Disability Facility Grant,1
137,0,Apply for Disabled Facilities Grant,1
141,8,Find out about repairs to council properties,1
141,0,Request a repair to a council property,1
147,8,Find out about garden maintenance for elderly or disabled council tenants,1
151,8,Find out about the right to buy scheme,1
159,8,Find out about fostering a child,1
160,8,Find out about adopting a child,1
160,0,Apply to adopt a child,1
169,8,Find out about the council's interpreting and translation service,1
178,8,Find out about equipment and adaptions to the home for disabled people,1
178,0,Apply for equipment and adaptations to the home for disabled people,1
209,8,Find out about a needs assessment by social services,1
209,0,Apply for a needs assessment by social services,1
230,8,Find out about sheltered and supported housing,1
230,0,Apply for sheltered and supported housing,1
260,8,Find out about short term breaks for carers of children,1
260,0,Apply for short term breaks for carers of children,1
272,8,Find out about community transport schemes,1
273,8,Find out about older person's bus pass,1
273,0,Apply for a older person's bus pass,1
274,8,Find out about parking bays for registered disabled drivers,1
279,8,Find out about Blue Badge parking permits,1
280,8,Find out about the disabled person's bus pass,1
280,0,Apply for a disabled person's bus pass,1
287,8,Find out about direct payments,1
287,0,Apply for direct payments,1
296,8,Find out about day centres,1
297,8,Find out about local support groups and organisations,1
313,8,Find out about community alarm services,1
313,0,Apply for a community alarm,1
315,8,Find out about mobile meals service,1
328,8,Find out about the bereavement service,1
353,8,Find out about complaints procedure,1
361,8,Find out about proxy votes,1
361,0,Apply for a proxy vote,1
