LAID,Authority name,Region,Number of LDG links,Number of LDG broken links,Number of PSC links,Number of PSC broken links,Valid 404 page
1,Adur District Council,S East,172,0,45,0,Y
2,Allerdale Borough Council,N West,102,0,23,0,Y
4,Amber Valley Borough Council,E Mids,136,0,53,0,Y
5,Arun District Council,S East,256,7,13,0,Y
6,Ashfield District Council,E Mids,151,0,56,0,Y
7,Ashford Borough Council,S East,205,0,47,0,N
8,Aylesbury Vale District Council,S East,82,0,49,0,Y
9,Babergh District Council,East,105,3,77,2,Y
10,London Borough of Barking and Dagenham,London,194,0,48,0,N
11,London Borough of Barnet,London,129,12,2,1,Y
12,Barnsley Metropolitan Borough Council,York/Humb,128,0,2,0,N
14,Basildon Borough Council,East,172,0,37,0,N
15,Basingstoke and Deane Borough Council,S East,139,1,50,0,Y
16,Bassetlaw District Council,E Mids,146,0,42,0,Y
17,Bath and North East Somerset Council,S West,118,0,50,0,Y
21,London Borough of Bexley,London,296,0,39,0,Y
22,Birmingham City Council,W Mids,277,0,59,2,Y
23,Blaby District Council,E Mids,101,0,26,0,Y
24,Blackburn with Darwen Borough Council,N West,221,1,55,0,Y
25,Blackpool Borough Council,N West,289,0,62,0,N
27,Bolsover District Council,E Mids,209,32,32,1,Y
28,Bolton Metropolitan Borough Council,N West,289,2,100,0,Y
29,Boston Borough Council,E Mids,86,0,41,0,N
30,Bournemouth Borough Council,S West,219,0,117,0,Y
31,Bracknell Forest Council,S East,142,0,42,0,Y
32,Bradford Metropolitan District Council,York/Humb,172,0,47,0,Y
33,Braintree District Council,East,182,0,32,0,Y
34,Breckland District Council,East,57,0,51,0,Y
35,London Borough of Brent,London,383,0,128,0,Y
36,Brentwood Borough Council,East,245,4,72,0,Y
38,Brighton and Hove City Council,S East,236,0,90,0,Y
40,Broadland District Council,East,198,1,2,0,Y
41,London Borough of Bromley,London,332,0,79,0,Y
42,Bromsgrove District Council,W Mids,102,0,29,0,Y
43,Borough of Broxbourne,East,94,70,22,22,Y
44,Broxtowe Borough Council,E Mids,209,0,53,0,N
45,Buckinghamshire County Council,S East,204,0,38,0,Y
46,Burnley Borough Council,N West,60,0,33,0,Y
48,Calderdale Metropolitan Borough Council,York/Humb,209,0,32,0,Y
49,Cambridge City Council,East,74,0,51,0,N
50,Cambridgeshire County Council,East,130,0,28,0,Y
51,London Borough of Camden,London,183,0,114,0,Y
52,Cannock Chase District Council,W Mids,189,0,29,0,Y
53,Canterbury City Council,S East,175,18,18,0,N
55,Carlisle City Council,N West,161,0,51,0,Y
58,Castle Point Borough Council,East,82,1,48,0,Y
59,Charnwood Borough Council,E Mids,210,12,44,0,Y
60,Chelmsford City Council,East,167,0,54,0,Y
61,Cheltenham Borough Council,S West,202,0,93,0,Y
62,Cherwell District Council,S East,134,0,49,0,Y
65,Chesterfield Borough Council,E Mids,197,1,52,0,Y
67,Chichester District Council,S East,202,0,41,0,N
68,Chiltern District Council,S East,112,54,2,0,N
69,Chorley Council,N West,162,0,55,0,Y
70,Christchurch Borough Council,S West,202,0,100,0,Y
71,Colchester Borough Council,East,169,80,70,62,Y
73,Copeland Borough Council,N West,87,1,41,0,Y
74,Corby Borough Council,E Mids,179,3,37,0,Y
76,City of London,London,166,0,69,0,Y
77,Cotswold District Council,S West,150,0,38,0,Y
78,Coventry City Council,W Mids,378,0,69,0,Y
79,Craven District Council,York/Humb,297,0,30,0,N
80,Crawley Borough Council,S East,285,8,2,0,N
82,London Borough of Croydon,London,300,1,70,0,Y
83,Cumbria County Council,N West,127,0,7,0,Y
84,Dacorum Council,East,190,0,25,0,Y
85,Darlington Borough Council,N East,192,0,70,0,N
86,Dartford Borough Council,S East,76,0,31,0,N
88,Daventry District Council,E Mids,97,0,36,0,Y
89,Derby City Council,E Mids,267,0,19,0,Y
90,Derbyshire County Council,E Mids,157,0,12,0,N
91,Derbyshire Dales District Council,E Mids,208,0,33,0,N
93,Devon County Council,S West,135,0,4,0,Y
94,Doncaster Metropolitan Borough Council,York/Humb,165,0,75,0,Y
95,Dorset County Council,S West,244,0,78,0,Y
96,Dover District Council,S East,97,0,40,0,Y
102,East Cambridgeshire District Council,East,127,0,46,0,Y
103,East Devon District Council,S West,146,0,55,0,Y
104,East Dorset District Council,S West,224,0,46,0,Y
105,East Hampshire District Council,S East,82,0,51,0,Y
106,East Hertfordshire District Council,East,85,1,21,0,Y
107,East Lindsey District Council,E Mids,99,2,1,0,N
108,East Northamptonshire Council,E Mids,92,0,40,0,Y
109,East Riding of Yorkshire Council,York/Humb,215,0,89,0,Y
110,East Staffordshire Borough Council,W Mids,135,1,49,0,Y
111,East Sussex County Council,S East,114,0,21,0,Y
112,Eastbourne Borough Council,S East,159,27,41,0,N
113,Eastleigh Borough Council,S East,90,0,25,0,Y
114,Eden District Council,N West,176,0,20,0,Y
117,London Borough of Enfield,London,110,0,51,0,Y
118,Epping Forest District Council,East,183,4,42,0,Y
119,Epsom and Ewell Borough Council,S East,140,0,64,0,Y
120,Erewash Borough Council,E Mids,70,0,53,0,Y
121,Essex County Council,East,106,0,10,0,N
122,Exeter City Council,S West,174,17,42,0,Y
124,Fareham Borough Council,S East,186,0,55,0,Y
125,Fenland District Council,East,52,5,14,2,N
126,Forest Heath District Council,East,76,0,42,0,N
127,Forest of Dean District Council,S West,249,0,40,0,Y
128,Fylde Borough Council,N West,67,0,32,0,Y
130,Gedling Borough Council,E Mids,196,3,50,0,Y
131,Gloucester City Council,S West,85,0,47,0,Y
132,Gloucestershire County Council,S West,121,0,30,0,N
133,Gosport Borough Council,S East,122,0,59,0,Y
134,Gravesham Borough Council,S East,170,0,23,0,N
135,Great Yarmouth Borough Council,East,229,0,34,0,Y
137,Royal Borough of Greenwich,London,307,4,21,0,N
138,Guildford Borough Council,S East,64,0,3,0,N
139,London Borough of Hackney,London,145,0,20,0,Y
140,Halton Borough Council,N West,267,0,26,0,Y
142,London Borough of Hammersmith & Fulham,London,197,18,68,0,Y
143,Hampshire County Council,S East,198,0,41,0,Y
144,Harborough District Council,E Mids,125,0,46,0,Y
145,London Borough of Haringey,London,218,0,66,0,Y
146,Harlow Council,East,54,0,81,0,Y
147,Harrogate Borough Council,York/Humb,394,2,53,0,Y
148,London Borough of Harrow,London,215,0,5,0,Y
149,Hart District Council,S East,261,0,4,0,Y
150,Hartlepool Borough Council,N East,243,0,64,0,Y
151,Hastings Borough Council,S East,159,24,24,0,N
152,Havant Borough Council,S East,127,39,47,6,Y
153,London Borough of Havering,London,369,0,67,0,N
154,Herefordshire Council,W Mids,217,0,48,0,N
155,Hertfordshire County Council,East,118,0,18,0,Y
156,Hertsmere Borough Council,East,118,0,34,0,Y
157,High Peak Borough Council,E Mids,55,7,58,8,Y
158,London Borough of Hillingdon,London,359,1,82,0,Y
159,Hinckley and Bosworth Borough Council,E Mids,99,0,94,0,Y
160,Horsham District Council,S East,157,9,149,0,Y
161,London Borough of Hounslow,London,329,0,3,0,N
162,Huntingdonshire District Council,East,51,0,5,0,Y
163,Hyndburn Borough Council,N West,46,0,19,0,Y
164,Ipswich Borough Council,East,109,0,47,0,N
165,Isle of Wight Council,S East,155,11,102,0,Y
166,Isles of Scilly,S West,150,0,3,0,Y
167,London Borough of Islington,London,172,0,60,0,N
169,Royal Borough of Kensington and Chelsea,London,225,0,68,0,N
170,Kent County Council,S East,220,0,15,0,Y
172,Kettering Borough Council,E Mids,208,2,22,0,Y
173,King's Lynn and West Norfolk Borough Council,East,173,0,55,0,Y
174,Kingston-upon-Hull City Council,York/Humb,300,300,30,30,Y
176,Kirklees Council,York/Humb,180,0,17,0,N
177,Knowsley Metropolitan Borough Council,N West,125,0,35,0,N
179,London Borough of Lambeth,London,163,0,63,0,Y
180,Lancashire County Council,N West,90,0,1,0,Y
181,Lancaster City Council,N West,83,0,27,0,Y
182,Leeds City Council,York/Humb,160,0,71,0,Y
183,Leicester City Council,E Mids,196,10,61,2,Y
184,Leicestershire County Council,E Mids,179,0,17,0,Y
185,Lewes District Council,S East,139,0,26,0,Y
186,London Borough of Lewisham,London,184,0,75,0,Y
187,Lichfield District Council,W Mids,88,3,43,0,Y
188,City of Lincoln Council,E Mids,195,0,51,0,Y
189,Lincolnshire County Council,E Mids,164,0,29,0,Y
190,Liverpool City Council,N West,239,0,126,0,Y
192,Luton Borough Council,East,207,0,65,0,Y
194,Maidstone Borough Council,S East,53,0,42,0,Y
195,Maldon District Council,East,122,4,172,0,N
