# ----------------------------------------,,,,
# 1. GOV.UK (Entire site - Filtered),,,,
# Local transaction,,,,
# 20150701-20150731,,,,
# ----------------------------------------,,,,
,,,,
Page Title,Pageviews,Unique Pageviews,Entrances,Exits
School term and holiday dates - GOV.UK,"215,566","162,153","84,937","88,254"
Pay your Council Tax - GOV.UK,"214,676","172,284","65,521","82,259"
Apply for an older person's bus pass - GOV.UK,"124,013","91,311","43,947","42,905"
Contact your local Electoral Registration Office - GOV.UK,"110,520","81,872","7,227","31,417"
Apply for council housing - GOV.UK,"109,496","80,353","20,882","34,581"
Apply for Council Tax Reduction - GOV.UK,"104,372","82,097","19,983","30,194"
Blue Badge scheme: information from your council - GOV.UK,"72,506","54,051","17,358","19,174"
Report a noise nuisance to your council - GOV.UK,"64,460","49,970","21,475","24,288"
Apply for a Council Tax discount - GOV.UK,"57,368","44,577","3,910","16,243"
Apply for a primary school place - GOV.UK,"46,590","34,113","7,749","13,654"
Help with school clothing costs - GOV.UK,"41,529","27,201","3,650","10,760"
Find free early education and childcare - GOV.UK,"39,300","30,230","3,173","12,261"
Apply for free school meals - GOV.UK,"37,799","30,967","15,803","15,758"
Apply for special collection of large waste items - GOV.UK,"37,340","28,387","14,625","14,643"
Apply for a disabled person's bus pass - GOV.UK,"36,091","26,428","9,052","11,146"
Find out your rubbish collection day - GOV.UK,"35,066","28,028","13,951","13,960"
Housing Benefit information from your council - GOV.UK,"34,815","27,587","4,189","9,600"
Search local archives - GOV.UK,"31,282","20,405","8,567","9,349"
Find a registered childminder - GOV.UK,"26,275","19,012","5,097","7,677"
Swap your council or housing association home - GOV.UK,"26,248","18,032","7,829","8,647"
Pay a parking fine - GOV.UK,"26,068","17,780","5,142","7,659"
Apply for a dropped kerb - GOV.UK,"26,032","19,704","10,077","10,221"
Apply for emergency housing from your council - GOV.UK,"22,392","15,614","3,326","6,041"
Get a parking permit - GOV.UK,"22,329","16,036","7,749","8,063"
Report an abandoned vehicle - GOV.UK,"20,909","16,684","7,362","8,072"
Find out where Blue Badge holders can park - GOV.UK,"19,425","13,537","4,881","3,973"
Asbestos in your home - GOV.UK,"17,034","12,279","7,056","6,751"
Find a nursery school place - GOV.UK,"16,971","11,919","4,405","5,025"
Rent a council garage - GOV.UK,"16,684","11,191","5,852","5,852"
Find your local park - GOV.UK,"16,630","11,254","5,915","6,086"
Apply for a secondary school place - GOV.UK,"16,270","11,767","2,616","4,593"
Help with home to school transport - GOV.UK,"15,857","11,030","3,065","4,432"
Search the register of planning decisions - GOV.UK,"15,129","10,427","4,252","4,836"
