# ----------------------------------------,,,,
# 1. GOV.UK (Entire site - Filtered),,,,
# Local transaction,,,,
# 20150801-20150831,,,,
# ----------------------------------------,,,,
,,,,
Page Title,Pageviews,Unique Pageviews,Entrances,Exits
School term and holiday dates - GOV.UK,"302,489","220,408","114,946","118,835"
Pay your Council Tax - GOV.UK,"200,739","160,696","61,381","77,715"
Contact your local Electoral Registration Office - GOV.UK,"134,730","100,538","8,618","41,146"
Apply for an older person's bus pass - GOV.UK,"125,571","90,547","41,814","42,817"
Apply for council housing - GOV.UK,"102,106","72,637","19,156","30,991"
Apply for Council Tax Reduction - GOV.UK,"98,316","76,356","18,766","27,904"
Blue Badge scheme: information from your council - GOV.UK,"75,401","55,815","19,131","19,936"
Report a noise nuisance to your council - GOV.UK,"65,400","49,794","21,331","24,292"
Apply for a Council Tax discount - GOV.UK,"61,672","48,143","4,256","18,149"
Apply for a primary school place - GOV.UK,"51,866","38,000","8,884","15,511"
Help with school clothing costs - GOV.UK,"48,136","30,584","5,186","11,940"
Apply for free school meals - GOV.UK,"41,744","32,748","16,209","16,324"
Find out your rubbish collection day - GOV.UK,"40,569","31,796","15,815","15,834"
Apply for a disabled person's bus pass - GOV.UK,"38,866","28,032","10,013","12,098"
Find free early education and childcare - GOV.UK,"38,855","29,298","3,400","11,383"
Apply for special collection of large waste items - GOV.UK,"35,442","26,997","14,177","14,265"
Housing Benefit information from your council - GOV.UK,"32,325","25,129","4,163","8,384"
Search local archives - GOV.UK,"31,715","20,299","8,261","9,127"
Pay a parking fine - GOV.UK,"27,093","17,600","4,920","7,603"
Find a registered childminder - GOV.UK,"27,085","18,960","5,162","7,569"
Swap your council or housing association home - GOV.UK,"23,390","15,902","7,052","7,701"
Apply for a dropped kerb - GOV.UK,"23,000","17,285","8,611","8,890"
Find your local park - GOV.UK,"21,172","14,298","7,582","7,746"
Apply for emergency housing from your council - GOV.UK,"20,512","14,437","2,831","5,345"
Find out where Blue Badge holders can park - GOV.UK,"19,885","13,893","4,845","4,226"
Get a parking permit - GOV.UK,"19,627","14,741","7,062","7,218"
Help with home to school transport - GOV.UK,"19,624","13,530","3,765","5,361"
Apply for a secondary school place - GOV.UK,"19,264","13,493","2,975","5,470"
Report an abandoned vehicle - GOV.UK,"18,714","14,766","6,260","7,189"
Subsidised transport for 16 to 19 year olds in education - GOV.UK,"18,036","12,756","5,093","5,453"
Rent a council garage - GOV.UK,"16,615","10,510","5,357","5,402"
Asbestos in your home - GOV.UK,"15,756","11,428","6,788","6,470"
Find a nursery school place - GOV.UK,"15,118","10,336","3,383","4,194"
