# ----------------------------------------,,,,,
# 1. GOV.UK (Entire site - Filtered),,,,,
# Local transaction,,,,,
# 20151001-20151031,,,,,
# ----------------------------------------,,,,,
,,,,,
Page Title,Pageviews,Unique Pageviews,Entrances,Exits,
School term and holiday dates - GOV.UK,"317,025","237,388","122,692","129,320",
Pay your Council Tax - GOV.UK,"209,957","169,194","64,268","81,585",
Apply for an older person's bus pass - GOV.UK,"149,212","106,821","42,063","47,460",
Apply for Council Tax Reduction - GOV.UK,"109,680","85,419","20,295","31,331",
Apply for council housing - GOV.UK,"102,477","71,971","19,815","30,532",
Contact your local Electoral Registration Office - GOV.UK,"99,804","74,416","6,983","29,009",
Apply for a secondary school place - GOV.UK,"99,132","73,072","20,278","34,305",
Apply for a primary school place - GOV.UK,"88,145","67,356","17,295","29,775",
Apply for a Council Tax discount - GOV.UK,"74,181","57,368","5,336","21,945",
Blue Badge scheme: information from your council - GOV.UK,"72,162","53,457","17,957","18,875",
Housing Benefit information from your council - GOV.UK,"53,509","41,921","4,658","15,138",
Apply for free school meals - GOV.UK,"44,215","35,299","17,856","18,072",
Report a noise nuisance to your council - GOV.UK,"43,923","33,899","14,396","16,461",
Find free early education and childcare - GOV.UK,"40,863","30,693","4,493","12,020",
Find out your rubbish collection day - GOV.UK,"39,977","31,369","15,694","15,704",
Apply for a disabled person's bus pass - GOV.UK,"37,164","26,559","9,361","11,251",
Apply for special collection of large waste items - GOV.UK,"36,000","27,393","14,289","14,402",
Pay a parking fine - GOV.UK,"32,227","21,213","6,209","9,062",
Search local archives - GOV.UK,"30,894","19,647","8,131","8,899",
Find a registered childminder - GOV.UK,"29,444","20,478","5,777","8,092",
Apply for emergency housing from your council - GOV.UK,"22,213","15,447","3,164","5,747",
Apply for a dropped kerb - GOV.UK,"21,189","16,255","8,003","8,245",
Report an abandoned vehicle - GOV.UK,"20,891","16,545","6,929","7,954",
Swap your council or housing association home - GOV.UK,"20,852","14,334","6,273","6,766",
Get a parking permit - GOV.UK,"20,682","15,556","7,407","7,694",
Find out where Blue Badge holders can park - GOV.UK,"18,343","12,659","4,386","3,740",
Home education: get information from your council - GOV.UK,"16,745","12,186","2,013","4,770",
Find a nursery school place - GOV.UK,"16,340","11,340","3,819","4,688",
Help with home to school transport - GOV.UK,"16,260","11,332","3,315","4,472",
Find a community support group or organisation - GOV.UK,"16,125","11,122",896,"2,560",
Rent a council garage - GOV.UK,"15,723","10,141","5,108","5,166",
Search the register of planning decisions - GOV.UK,"15,167","10,387","4,393","4,869",
Asbestos in your home - GOV.UK,"15,001","10,957","6,494","6,184",
Appeal a parking fine - GOV.UK,"14,128","9,945","3,775","4,782",
Appeal a Housing Benefit decision - GOV.UK,"13,603","10,326",614,"2,879",
Apply for equipment for your home if you're disabled - GOV.UK,"13,436","9,672","1,385","2,602",
Courses and qualifications for 14 to 19 year olds - GOV.UK,"13,054","8,876","3,045","3,750",
Apply for a needs assessment by social services - GOV.UK,"12,941","10,053","4,651","4,926",
Organise your citizenship ceremony with your council - GOV.UK,"12,112","8,307",908,"2,286",
Apply for a Disabled Facilities Grant - GOV.UK,"11,890","8,824","1,007","1,932",
Help with school clothing costs - GOV.UK,"11,441","7,572","1,432","2,684",
Apply to adopt a child through your council - GOV.UK,"10,756","8,060","2,127","3,261",
Find a local hazardous waste disposal service - GOV.UK,"10,314","7,127","3,250","3,387",
Contact your council about business rates bill - GOV.UK,"9,719","7,484",937,"2,763",
Find your local park - GOV.UK,"9,527","6,583","3,417","3,527",
Get meals at home (meals on wheels) - GOV.UK,"9,492","6,580","3,122","3,308",
Apply for direct payments - GOV.UK,"9,453","7,322","2,931","3,018",
Report a dead or injured animal - GOV.UK,"9,443","7,825","5,838","5,720",
Report a problem with a street light - GOV.UK,"9,443","7,327","4,166","4,111",
Childcare out of school hours - GOV.UK,"8,223","5,935",885,"1,667",
After school and holiday clubs - GOV.UK,"8,048","5,662","1,363","1,898",
Education and attendance information from your council - GOV.UK,"7,886","5,791",123,"1,840",
Subsidised transport for 16 to 19 year olds in education - GOV.UK,"7,721","5,532","2,028","2,291",
Alcohol licensing in your area - GOV.UK,"7,125","5,108","1,794","2,289",
Dispose of garden waste - GOV.UK,"7,009","5,316","1,538","2,333",
Apply to foster a child through your council - GOV.UK,"6,786","5,279","1,472","2,570",
Report a pest problem - GOV.UK,"6,746","4,997","2,728","2,639",
Find your local councillors - GOV.UK,"6,403","4,725","2,145","2,211",
Apply for a child performance licence - GOV.UK,"6,268","3,958","1,447","1,569",
Apply for sheltered housing - GOV.UK,"5,957","3,943","1,460","1,657",
Report fly-tipping or illegal waste dumping - GOV.UK,"5,781","4,586","2,664","2,704",
Find a weighbridge - GOV.UK,"5,534","3,233","1,328","1,391",
Find out about changes to care and support - GOV.UK,"5,091","3,805","1,237","1,338",
