# ----------------------------------------,,,,
# 1. GOV.UK (Entire site - Filtered),,,,
# Local transaction,,,,
# 20151101-20151130,,,,
# ----------------------------------------,,,,
,,,,
Page Title,Pageviews,Unique Pageviews,Entrances,Exits
Pay your Council Tax - GOV.UK,"201,974","162,442","61,408","78,332"
Apply for an older person's bus pass - GOV.UK,"139,097","99,975","38,465","43,909"
School term and holiday dates - GOV.UK,"125,726","96,700","50,520","53,058"
Apply for a primary school place - GOV.UK,"123,931","96,672","26,779","44,750"
Apply for Council Tax Reduction - GOV.UK,"102,309","79,648","18,583","28,836"
Contact your local Electoral Registration Office - GOV.UK,"100,120","74,747","7,418","29,126"
Apply for council housing - GOV.UK,"98,046","69,525","19,522","29,714"
Blue Badge scheme: information from your council - GOV.UK,"61,607","45,505","14,319","16,134"
Apply for a Council Tax discount - GOV.UK,"57,285","44,071","3,753","16,086"
Housing Benefit information from your council - GOV.UK,"52,295","41,406","4,112","15,027"
Apply for free school meals - GOV.UK,"42,088","33,422","16,981","17,174"
Find free early education and childcare - GOV.UK,"40,057","30,561","3,992","12,121"
Find out your rubbish collection day - GOV.UK,"38,275","30,607","15,250","15,318"
Apply for special collection of large waste items - GOV.UK,"34,893","26,973","14,169","14,248"
Apply for a disabled person's bus pass - GOV.UK,"33,549","24,325","8,902","10,484"
Report a noise nuisance to your council - GOV.UK,"32,504","25,226","10,907","12,296"
Pay a parking fine - GOV.UK,"32,051","21,415","6,525","9,152"
Search local archives - GOV.UK,"29,121","18,910","7,791","8,593"
Find a registered childminder - GOV.UK,"25,519","18,129","5,053","7,179"
Apply for emergency housing from your council - GOV.UK,"22,005","15,448","3,431","5,854"
Apply for a secondary school place - GOV.UK,"21,435","15,716","3,734","6,787"
Report an abandoned vehicle - GOV.UK,"19,305","15,684","6,632","7,647"
Apply for a dropped kerb - GOV.UK,"19,131","14,862","7,376","7,551"
Get a parking permit - GOV.UK,"18,004","13,686","6,597","6,850"
Find out where Blue Badge holders can park - GOV.UK,"17,275","11,833","4,369","3,473"
Swap your council or housing association home - GOV.UK,"17,024","11,654","4,980","5,517"
Home education: get information from your council - GOV.UK,"16,881","12,414","2,237","4,858"
Find a community support group or organisation - GOV.UK,"15,898","11,192",975,"2,597"
Find a nursery school place - GOV.UK,"15,553","10,923","3,891","4,592"
Rent a council garage - GOV.UK,"14,888","9,621","4,928","4,940"
Help with home to school transport - GOV.UK,"13,873","9,567","2,822","3,856"
Search the register of planning decisions - GOV.UK,"13,646","9,537","4,077","4,407"
Appeal a parking fine - GOV.UK,"13,356","9,555","3,555","4,635"
Appeal a Housing Benefit decision - GOV.UK,"13,190","10,033",689,"2,811"
Asbestos in your home - GOV.UK,"13,032","9,532","5,742","5,556"
Apply for equipment for your home if you're disabled - GOV.UK,"12,153","8,785","1,289","2,363"
